category,intent,intentType,userSentence
" """,Default_Greeting_Intent,GREETING,hi
" """,Default_Greeting_Intent,GREETING,hello
" """,Default_Greeting_Intent,GREETING,올라
" """,Default_Greeting_Intent,GREETING,안뇽
" """,Default_Greeting_Intent,GREETING,하이
" """,Default_Greeting_Intent,GREETING,방가
" """,Default_Greeting_Intent,GREETING,하이우
" """,Default_Greeting_Intent,GREETING,니하오
" """,Default_Greeting_Intent,GREETING,하이루
" """,Default_Greeting_Intent,GREETING,앙뇽
" """,Default_Greeting_Intent,GREETING,반가워
" """,Default_Greeting_Intent,GREETING,봉주르
" """,Default_Greeting_Intent,GREETING,봉쥬르
" """,Default_Greeting_Intent,GREETING,안뇽안뇽
" """,Default_Greeting_Intent,GREETING,앙뇽앙뇽
" """,Default_Greeting_Intent,GREETING,방가루
" """,Default_Greeting_Intent,GREETING,얄루
" """,Default_Greeting_Intent,GREETING,정말방가
" """,Default_Greeting_Intent,GREETING,할루
" """,Default_Greeting_Intent,GREETING,하요
" """,Default_Greeting_Intent,GREETING,난이스투미츄
" """,Default_Greeting_Intent,GREETING,고니찌아
" """,Default_Greeting_Intent,GREETING,곤니찌와
" """,Default_Greeting_Intent,GREETING,오하요
" """,Default_Greeting_Intent,GREETING,오하이오
" """,Default_Greeting_Intent,GREETING,할로
" """,Default_Greeting_Intent,GREETING,헬로
" """,Default_Greeting_Intent,GREETING,곰방와
" """,Default_Greeting_Intent,GREETING,안녀하세여
" """,Default_Greeting_Intent,GREETING,ㅎㅇ
" """,Default_Greeting_Intent,GREETING,언제나 환영이야
" """,Default_Greeting_Intent,GREETING,또 찾아왔네?
" """,Default_Greeting_Intent,GREETING,또왔네
" """,Default_Greeting_Intent,GREETING,또 왔네
" """,Default_Greeting_Intent,GREETING,또와써
" """,Default_Greeting_Intent,GREETING,왔어
" """,Default_Greeting_Intent,GREETING,왔구나
" """,Default_Greeting_Intent,GREETING,왔네
" """,Default_Greeting_Intent,GREETING,잘왔어
" """,Default_Greeting_Intent,GREETING,벌써왔어
" """,Default_Greeting_Intent,GREETING,벌써 왔어
" """,Default_Greeting_Intent,GREETING,잘 왔어
" """,Default_Greeting_Intent,GREETING,언제나 반가워
" """,Default_Greeting_Intent,GREETING,언제나 반가워요
" """,Default_Greeting_Intent,GREETING,안녕하세요
" """,Default_Greeting_Intent,GREETING,안녕
" """,Default_Greeting_Intent,GREETING,할룽
" """,Default_Greeting_Intent,GREETING,반가워서 오지구요 지리구요
" """,Default_Greeting_Intent,GREETING,하이헬로
" """,Default_Greeting_Intent,GREETING,안뇽하슈
" """,Default_Greeting_Intent,GREETING,세이헬로
" """,Default_Greeting_Intent,GREETING,안녕하시오
" """,Default_Greeting_Intent,GREETING,안녕하슈
" """,Default_Greeting_Intent,GREETING,반갑습니당
" """,Default_Greeting_Intent,GREETING,안녕하삼
" """,Default_Greeting_Intent,GREETING,하이염
" """,Default_Greeting_Intent,GREETING,웰컴
" """,Default_Greeting_Intent,GREETING,하이요
" """,Default_Greeting_Intent,GREETING,나이스투 씨유
" """,Default_Greeting_Intent,GREETING,안녕하시렵니까
" """,Default_Greeting_Intent,GREETING,할랑
" """,Default_Greeting_Intent,GREETING,롱타임노씨
" """,Default_Greeting_Intent,GREETING,나이스투미츄
" """,Default_Greeting_Intent,GREETING,다시봐도반갑네
" """,Default_Greeting_Intent,GREETING,잘지냈어
" """,Default_Greeting_Intent,GREETING,와썹
" """,Default_Greeting_Intent,GREETING,하잇
" """,Default_Greeting_Intent,GREETING,반가워요
" """,Default_Greeting_Intent,GREETING,반갑습니다
" """,Default_Greeting_Intent,GREETING,굿모닝
" """,Default_Greeting_Intent,GREETING,굿 이브닝
" """,Default_Greeting_Intent,GREETING,오늘도 안녕
" """,Default_Greeting_Intent,GREETING,오늘도 하이
" """,Default_Greeting_Intent,GREETING,하이하이
" """,Default_Greeting_Intent,GREETING,반갑슴네다
" """,Default_Greeting_Intent,GREETING,환영해요
" """,Default_Greeting_Intent,GREETING,환영해
" """,Default_Greeting_Intent,GREETING,앙녕
" """,Default_Greeting_Intent,GREETING,오늘도 안녕?
" """,Default_Greeting_Intent,GREETING,좋은 아침이야
" """,Default_Greeting_Intent,GREETING,오늘 역시 안녕
" """,Default_Greeting_Intent,GREETING,오늘 역시 반가워
" """,Default_Greeting_Intent,GREETING,반가~
" """,Default_Greeting_Intent,GREETING,방가워요
" """,Default_Greeting_Intent,GREETING,악수
" """,Default_Greeting_Intent,GREETING,저기
" """,Default_Greeting_Intent,GREETING,저기요
상품추천/검색-상품검색,(검색API)상품추천/검색_상품검색_상품추천,STANDARD,태국 방콕 2018년 9월 30일
