id,sentence
"0","택배 당일 예약도 되나요?"
"0","택배 당일 예약이 가능한가요?"
"0","택배 당일 예약 하고싶어요"
"0","택배 당일 예약이 가능한지 문의드립니다"
"0","택배 당일 예약 가능?"
"0","택배 당일 예약 되니?"
"0","택배 예약하면 오늘 바로 오나요?"
"0","택배 오늘 예약 되요?"
"0","택배오늘 예약이 되나요?"
"1","인천공항 긴급전화 알려주세요"
"1","공항 비상 연락처 알려주세요"
"1","긴급전화 번호가 필요해요"
"1","공항 비상연락처 필요해요"
"1","긴급전화 안내해주세요"
"1","공항 긴급전화 안내해주세요"
"1","인천공항 긴급전화 번호가 뭔가요"
"1","공항 긴급전화 번호 뭐에요"
"1","긴급전화 번호 뭔가요"
"1","비상연락처 뭔가요"
"1","비상시 연락처 알려줘"
"1","비상시 어디로 전화해?"
"1","긴급전화"
"1","전하번호 알려줘"
"1","비상상황일 때 연락할 수 있는 연락처 알려줘"
"1","비상상황 대비할 수 있는 전화번호가 필요해"
"1","긴급상황 연락처 리스트 안내해줘"
"1","긴급비상전화번호 알려주세요"
"1","공항 긴급비상전화번호 알 수 있을까?"
"1","긴급 시 연결할 수 있는 전화번호 리스트 보여줘"
"1","긴급상황 때 필요한 연락처 가르쳐주세요"
"1","인천공항 긴급비상연락망에 대해 알려줘"
"1","공항에서 긴급상황일 때 어디다 연락해야하는지 알려줘"
"1","공항에서 긴급 요청할 때 어디에 연락하면 될까?"
"1","공항 이용시 비상상황일 때 어디에 연락하면 좋을까?"
"1","공항에서 비상일 때 어디다 전화해?"
"1","공항 비상상황 시 전화가능한 곳 리스트 좀 알려줘"
"1","인천공항 비상연락망 알려줘"
"1","인천공항 긴급연락망 목록 보여줘"
"1","긴급시 연락 가능한 연락처 알려줘"
"1","비상일 때 연락 가능한 전화번호 목록 보여줘"
"1","긴급일 때 어디다 연락할 수 있어?"
"1","긴급상황일 때 신고 가능한 전화번호 알려줘"
"1","공항 긴급 전화 번호 뭐야"
"1","궁금해 비상연락처"
"1","비상전번 확인 할 수 있을까?"
"1","긴급 연락처 가르쳐줘"
"1","긴급상황에 어디로 전화 해야돼?"
"1","비상전화번호 체크할수 있을까?"
"1","긴급문의번호 볼 수 있습니까"
"1","긴급 전화번호 보기"
"1","비상시 전화 할 고객센터 알려줘"
"1","긴급히 문의 할게 있을때 연락망 가르쳐줘"
"1","급한일 있을때 문의 어디로해?"
"1","긴급상황시 공항 어디에 전화해야되?"
"1","수상한 사람이 보여 긴급번호 알려줘"
"1","공항에 이상한 물체가 있는데 어디에 연락해야되?"
"1","다친사람이 생겼어 어디에 전화해?"
"1","긴급연락망 좀 알려줘 상황이 좀 안좋아졌어"
"1","배가 너무 아파 어디에 연락해야되?"
"1","긴급상황일 때 전화할 수 있는 연락처 알려줘"
"1","비상일때 어디다 전화하면 좋을까?"
"1","비상상황일 때 도움 요청할 수 있는 번호 알려줘"
"1","긴급 연락망 알려줘"
"1","비상상황 시 필요한 연락처 알려줘"
"1","긴급 상황이면 어디다 전화해?"
"1","급한상황에 어디로 전화해야되요"
"1","비상시 전화번호 알려줘"
"1","궁금해요 긴요한상화에 어디에 전화할지"
"1","요긴한 상황에 전화하려면"
"1","어디에 전화해야되나요 일촉즉발상황에"
"1","수상한사람 보이면 어디로 전화해?"
"1","긴급 연락망은"
"1","공항 비상연락망은"
"1","위급일 때 전화 걸 수 있는 곳 알려줘"
"1","번호 넘겨라"
"1","문의처 알려주세요"
"1","텔레폰넘버 궁금해요"
"1","어디에 연락해야되?"
"1","문의처번호 알려줘"
"1","넘버가 궁금해요"
"1","알려주라 폰넘버"
"1","비상이야 연락해야 되는데 어디다 해"
"1","문의사항있는데 어디다 연락하면 좋을까?"
"1","문의는 어디에 해?"
"1","문의할 만한 곳 전화번호 알려줘"
"1","고객센터 번호 알려줘"
"1","불만사항은 어디에 말해"
"1","불편한 점 있는데 어디에 말해"
"1","공항에 문제있으면 어디로 연락해?"
"1","불만사항 접수는 어디다가 해"
"1","불만있는데 어디에 얘기해"
"1","공항 대표번호알려줘"
"1","수도관이 이상한거같은데 어디로문의해?"
"2","인천공항 어떻게 가"
"2","공항 가는 방법 알려줘"
"2","공항 가는 길 알려줘"
"2","인천공항 어떻게 가요?"
"2","공항에 뭐타고 가면 돼?"
"2","자가용 가지고 공항갈 수 있나요?"
"2","공항에 뭐타고 갈 수 있어?"
"2","공항까지 가는데 얼마 들어?"
"2","공항 어떻게 가냐"
"2","어떻게 갈 수 있어요?공항은"
"2","공항 가는 길"
"2","공항 가는 방법"
"2","공항가고 싶은데 어떻게 가"
"2","인천공항 가고 싶어"
"2","인천공항 가는 법 알려줘"
"2","인천공항 어케 가?"
"2","인천공항 오시는 길"
"2","인천공항 네비찍고 가면돼?"
"2","인천공항에는 자차로 가야되나요?"
"2","인천공항 가는 법"
"2","인천공항으로 가려면?"
"2","인천공항 가는 길"
"2","인천공항 찾아가는 길 약도"
"2","공항으로 가려면 어떻게 가?"
"2","공항으로 가는 가장 빠른길"
"2","공항으로 빨리 가는 법"
"2","공항으로 가는 길"
"2","어떻게 공항으로 가는건데?"
"2","인천 국제 공항으로 가는 법?"
"2","인천공항으로 어떻게 가면 돼?"
"2","공항으로 갈 수 있는 법 알려줘"
"2","인천공항 빠르게 도착하는 방법알려줘"
"2","인천공항 자동차로 어떻게 가니"
"2","자가용으로 인천공항가려고"
"2","대중교통타고 공항갈수있지?"
"2","인천공항 갈때 뭐로가야되?"
"2","교통경로가 어떻게되?인천공항까지"
"2","인천공항 가는법 알려줘요"
"2","인천공항 가는 경로 질문이요"
"2","새벽에 인천공항 가는 법 알고싶어"
"2","인천공항까지 가는 가장 빠른길 알려줘"
"2","차타고 공항갈려고해요"
