사용자질문,추천결과,정답Intent,추천방법,추천근거,정답여부,
ncs분류코드 직업선택,82,82,similarity,"[('ncs 분류코드 직업선택', 0.96)]",TRUE,
가등록번호가 왜 필요해?,147,147,similarity,"[('가등록번호가 언제 필요해?', 0.8888888888888888)]",TRUE,
가입증서 내용 정정 후에 재발급 가능해?,203,203,similarity,"[('가입증서 내용 정정한 후에 재발급이 가능한가요?', 0.875)]",TRUE,
가족관계증명서 주민번호 기재 여부,87,87,similarity,"[('가족관계증명서 주민번호 기재', 0.9090909090909091)]",TRUE,
가족관계증명서 주민번호가 다 있어야 하나요?,87,87,similarity,"[('가족관계증명서 주민번호가 다 입력되야 하나?', 0.875)]",TRUE,
가족관계증명서에 주민번호 삭제해도 돼?,87,87,similarity,"[('가족관계증명서에 주민번호 생략해도 돼?', 0.9047619047619048)]",TRUE,
감전사고로 발생한 구상청구권 행사 사례 알려주세요,221,221,similarity,"[('감전사고에 대한 구상권 행사 사례 알려주세요', 0.8627450980392157)]",TRUE,
계량기 오결선 누락요금관련 분할납부소송 판례,118,118,similarity,"[('계량기 오결선 누락요금관련 소송 관련 판례', 0.851063829787234)]",TRUE,
계약 전 가입증서 발급 가능 여부 문의,69,69,similarity,"[('계약 체결 전 가입증서 발급 가능 여부', 0.8571428571428571)]",TRUE,
계약종별 위반 적발 관련 위약금청구소송 진행한 사례,219,219,similarity,"[('계약종별 위반 적발 시 위약금청구소송 제기한 사례', 0.8727272727272727)]",TRUE,
계약종별 관련하여 제기할 수 있는 소송에 대하여,134,134,similarity,"[('계약종별과 관련하여 제기할 수 있는 소송', 0.875)]",TRUE,
계획휴전으로 인한 피해로 손배상청구소송까지 일어난 경우 판례,304,304,similarity,"[('계획휴전으로 인한 피해때문에 손배상청구소송까지 청구한 경우 판례', 0.8529411764705882)]",TRUE,
고용승계 증빙서류에 관해 문의해도 되나요?,128,128,similarity,"[('고용승계 증빙서류 관련 문의도 받나요?', 0.8636363636363636)]",TRUE,
