id,sentence
"7e95943ab6e5421ca5a874c0","LTE 안심옵션?"
"7e95943ab6e5421ca5a874c0","LTE 안심옵션에 대해 알려주세요"
"7e95943ab6e5421ca5a874c0","LTE 안심옵션은 뭔가요?"
"7e95943ab6e5421ca5a874c0","LTE 안심옵션은 어떤 서비스 인가요?"
"7e95943ab6e5421ca5a874c0","LTE 안심옵션이 뭐죠?"
"7e95943ab6e5421ca5a874c0","데이터 무제한 옵션은?"
"7e95943ab6e5421ca5a874c0","LTE 안심옵션이 뭐야?"
"7e95943ab6e5421ca5a874c0","데이터 무제한 옵션이 있나요?"
"9b38671f711a41ee8212ca83","6인 지정할인 요금제가 뭔가요?"
"9b38671f711a41ee8212ca83","6인 지정할인 요금제가 뭔지 알려주세요"
"9b38671f711a41ee8212ca83","6인 지정할인 요금제란 무었인가요?"
"9b38671f711a41ee8212ca83","6인 지정할인 요금제에 대해 알려주세요."
"9b38671f711a41ee8212ca83","요금제중에서 6인 지정할인 요금제가 있어요?"
"d047616081604b19a81167b0","100% LTE 데이터팩에 대해 알려주세요"
"d047616081604b19a81167b0","100% LTE 데이터팩에 대해 알려줘"
"d047616081604b19a81167b0","100% LTE 데이터팩은 어떤 서비스 인가요?"
"d047616081604b19a81167b0","100% LTE 데이터팩은?"
"d047616081604b19a81167b0","100% LTE 데이터팩이 뭔가요?"
"d047616081604b19a81167b0","LTE 100% 데이터팩에 대해 알려주세요"
"573719c9fb244d649974bb8b","24시간 데이터 Free는 어떤 서비스 인가요?"
"573719c9fb244d649974bb8b","24시간 데이터 프리 요금제가 뭔지요?"
"573719c9fb244d649974bb8b","24시간 데이터Free 요금제가 궁금해요"
"573719c9fb244d649974bb8b","24시간데이터Free 알려줘"
"573719c9fb244d649974bb8b","24시간데이터Free?"
"e03130a9630b46b99b9e8dcf","LTE음성무한자유69 요금제로 변경하고 싶어"
"e03130a9630b46b99b9e8dcf","LTE 요금제로 바꿔줘"
"e03130a9630b46b99b9e8dcf","내 요금제를 바꾸고  싶어"
"e03130a9630b46b99b9e8dcf","요금제도 변경 방법은?"
"e03130a9630b46b99b9e8dcf","지금 요금제를 LTE음성무한자유69로 바꾸려면 어떻게 해야하지?"
"b57d10baffd74a8b84ff0717","U+ Navi 사용료 알고 싶어요"
"b57d10baffd74a8b84ff0717","U+ Navi 어떻게 이용해?"
"b57d10baffd74a8b84ff0717","U+ Navi 얼마죠?"
"b57d10baffd74a8b84ff0717","U+ Navi 이용 요금은 어떻게 되나요?"
"b57d10baffd74a8b84ff0717","U+ Navi 이용요금 얼마죠?"
"f9f606de8bb14d8a9aabc53a","교과월정액 데이터 3GB이상 사용하면 어떻게 되죠?"
"f9f606de8bb14d8a9aabc53a","교과월정액 데이터 차감 순서는?"
